Productos,Precio de Costo,Precio de Venta,Precio de venta a extensiones,Precio Límite,,,
Frigideira Acero Inox con baqueta IVSOM,"$43,500.00","$65,685.00","$61,335.00","$92,615.85",,,
Frigideira Contemporánea,"$68,700.00","$103,737.00","$96,867.00","$146,269.17",,,
Funda Pandeiro Contemporánea,"$26,700.00","$40,317.00","$37,647.00","$56,846.97",,,
"Funda para caixa 10"" IVSOM","$33,300.00","$50,283.00","$46,953.00","$70,899.03",,,
"Funda para caixa 12"" IVSOM","$33,900.00","$51,189.00","$47,799.00","$72,176.49",,,
"Funda para caixa 14"" IVSOM","$41,700.00","$62,967.00","$58,797.00","$88,783.47",,,
Funda para Cavaco ,desde 15.000 hasta 89.700 de costo,,#VALUE!,#VALUE!,,,
Funda para Chocalho IVSOM,"$25,500.00","$38,505.00","$35,955.00","$54,292.05",,,
Funda para cuica Contemporánea,"$47,700.00","$72,027.00","$67,257.00","$101,558.07",,,
"Funda para pandeiro 10"" IVSOM","$18,600.00","$28,086.00","$26,226.00","$39,601.26",,,
"Funda para pandeiro 11"" IVSOM","$20,400.00","$30,804.00","$28,764.00","$43,433.64",,,
"Funda para pandeiro 12"" IVSOM","$21,600.00","$32,616.00","$30,456.00","$45,988.56",,,
Funda para rebolo (término medio),"$59,700.00","$90,147.00","$84,177.00","$127,107.27",,,
Funda para reco reco IVSOM,"$31,200.00","$47,112.00","$43,992.00","$66,427.92",,,
"Funda para repique 10"" IVSOM","$36,000.00","$54,360.00","$50,760.00","$76,647.60",,,
"Funda para repique 12"" IVSOM","$36,900.00","$55,719.00","$52,029.00","$78,563.79",,,
"Funda para repique 12"" Gope","$53,700.00","$81,087.00","$75,717.00","$114,332.67",,,
Funda para repique de MANO Gope,"$53,700.00","$81,087.00","$75,717.00","$114,332.67",,,
"Funda para surdo 18""x50cm IVSOM","$63,600.00","$96,036.00","$89,676.00","$135,410.76",,,
"Funda para surdo 18""x60cm IVSOM","$64,800.00","$97,848.00","$91,368.00","$137,965.68",,,
"Funda para surdo 20""x50cm IVSOM","$67,500.00","$101,925.00","$95,175.00","$143,714.25",,,
"Funda para surdo 20""x60cm IVSOM ","$67,800.00","$102,378.00","$95,598.00","$144,352.98",,,
"Funda para surdo 22""x50cm IVSOM","$71,400.00","$107,814.00","$100,674.00","$152,017.74",,,
"Funda para surdo 22""x60cm IVSOM","$73,500.00","$110,985.00","$103,635.00","$156,488.85",,,
"Funda para surdo 24""x50cm IVSOM","$74,700.00","$112,797.00","$105,327.00","$159,043.77",,,
"Funda para surdo 26""x50cm IVSOM","$77,700.00","$117,327.00","$109,557.00","$165,431.07",,,
"Funda para surdo/repique Mor 14""x50cm IVSOM","$47,400.00","$71,574.00","$66,834.00","$100,919.34",,,
"Funda para surdo/repique Mor 16""x50cm IVSOM","$60,600.00","$91,506.00","$85,446.00","$129,023.46",,,
Funda para tamborim IVSOM,"$18,600.00","$28,086.00","$26,226.00","$39,601.26",,,
"Funda para tantan 14""x70cm IVSOM","$55,800.00","$84,258.00","$78,678.00","$118,803.78",,,
"Funda para Timbal 12""x90cm IVSOM","$51,600.00","$77,916.00","$72,756.00","$109,861.56",,,
Funda para Timbal Contemporánea,"$80,700.00","$121,857.00","$113,787.00","$171,818.37",,,
